,traveller_username,date,covid,star,rating,aspect_sentiment,count_topic_0,count_topic_2,count_topic_4,topic_0,topic_2,topic_4,count_topic_3,count_topic_1,topic_3,topic_1
176,OSixParking,2023-03-01,PostCovid,4,2.0,"[[time, readi, 1], [time, prime, 1], [floor, small, 2]]",,1.0,,,-0.25,,,2.0,,0.0
177,Adventure60978652530,2023-03-01,PostCovid,4,,"[[need, clean, 2], [need, basic, 2]]",,2.0,,,0.18333333333333335,,,,,
178,25karl,2023-03-01,PostCovid,4,,"[[hotel, good, 0], [pool, nice, 3], [pool, 'much nice', 3], [pool, nice, 3], [good, singapor, 0]]",2.0,,,0.7,,,3.0,,0.6,
179,annemnewiss,2023-03-01,PostCovid,4,,"[[check, late, 4], [pool, good, 3]]",,,1.0,,,-0.3,1.0,,0.7,
180,Voyager05828727147,2023-03-01,PostCovid,4,,"[[place, servic, 0], [place, nice, 0], [staff, refresh, 1]]",2.0,,,0.3,,,,1.0,,0.0
181,Quest18867591332,2023-03-01,PostCovid,4,,[],,,,,,,,,,
182,Ms. Lau,2023-03-01,PostCovid,4,5.0,"[[book, free, 4]]",,,1.0,,,0.4,,,,
183,Poong Boi,2022-11-01,PostCovid,4,,[],,,,,,,,,,
184,Sharmiyla R,2022-11-01,PostCovid,4,5.0,"[[love, prompt, 1]]",,,,,,,,1.0,,0.5
185,norman,2022-11-01,PostCovid,4,5.0,"[[hotel, famili, 0], [hotel, safe, 0], [hotel, covid, 0]]",3.0,,,0.16666666666666666,,,,,,
186,Beelah P,2022-10-01,PostCovid,4,,"[[time, everi, 1], [bathroom, clean, 2]]",,1.0,,,0.3666666666666667,,,1.0,,0.0
187,driedflowersbloom,2022-11-01,PostCovid,4,5.0,"[[need, sure, 2], [day, warmer, 4], [day, 'much warmer', 4]]",,1.0,2.0,,0.5,0.1,,,,
188,Sharifah A,2022-11-01,PostCovid,4,,"[[need, 'well cater', 2]]",,1.0,,,0.0,,,,,
189,Rohana,2022-10-01,PostCovid,4,,"[[room, big, 2]]",,1.0,,,0.0,,,,,
190,Glissie Lim,2022-10-01,PostCovid,4,5.0,[],,,,,,,,,,
191,Edwinlww,2022-10-01,PostCovid,4,,"[[work, right, 2]]",,1.0,,,0.2857142857142857,,,,,
192,Jackie C,2022-01-01,Covid,4,,"[[shower, good, 2]]",,1.0,,,0.7,,,,,
193,Maricar,2022-01-01,Covid,4,,"[[place, great, 0], [room, clean, 2]]",1.0,1.0,,0.8,0.3666666666666667,,,,,
194,Amalina Pasha,2020-06-01,Covid,4,,"[[day, big, 4]]",,,1.0,,,0.0,,,,
195,Steve Z,2020-03-01,Covid,4,,"[[club, civil, 4], [club, servic, 4]]",,,2.0,,,0.0,,,,
196,TREX100,2020-02-01,Covid,4,,[],,,,,,,,,,
197,Thivyaashini,2020-01-01,PreCovid,4,,"[[staff, slow, 1]]",,,,,,,,1.0,,-0.30000000000000004
198,mahani31,2020-04-01,Covid,4,,[],,,,,,,,,,
199,KATHLEEN DOHERTY,2020-04-01,Covid,4,5.0,"[[thank, first, 1], [flight, urgent, 4]]",,,1.0,,,0.0,,1.0,,0.25
200,Helen,2020-03-01,Covid,4,,"[[staff, pleasant, 1], [time, next, 1]]",,,,,,,,2.0,,0.36666666666666664
201,Nur Aini A,2020-03-01,Covid,4,,"[[time, great, 1], [time, ubin, 1], [friendli, small, 1], [pool, swim, 3]]",,,,,,,1.0,3.0,0.0,0.18333333333333335
202,Netty,2020-04-01,Covid,4,,"[[time, clean, 1]]",,,,,,,,1.0,,0.3666666666666667
203,witz81,2020-03-01,Covid,4,,[],,,,,,,,,,
204,Sjoerd B,2020-03-01,Covid,4,,"[[pool, top, 3], [pool, swim, 3]]",,,,,,,2.0,,0.25,
205,f1f9jbr0j1080cen2020,2020-03-01,Covid,4,,[],,,,,,,,,,
206,Sebastian T,2020-03-01,Covid,4,,"[[breakfast, servic, 3]]",,,,,,,1.0,,0.0,
207,Andric Sim,2020-03-01,Covid,4,,"[[hotel, great, 0]]",1.0,,,0.8,,,,,,
