,traveller_username,date,covid,star,rating,aspect_sentiment,count_topic_1,count_topic_0,count_topic_3,topic_1,topic_0,topic_3,count_topic_2,topic_2,count_topic_4,topic_4
136,Melchor C,2019-12-01,PreCovid,3,5.0,"[[comfort, small, 1], [comfort, enough, 1], [bathroom, clean, 0]]",2.0,1.0,,-0.125,0.3666666666666667,,,,,
137,Ignatius M,2019-11-01,PreCovid,3,5.0,"[[day, best, 2], [staff, nice, 1], [room, nice, 0], [room, clean, 0]]",1.0,2.0,,0.6,0.48333333333333334,,1.0,1.0,,
138,Steve L,2019-10-01,PreCovid,3,4.0,"[[room, first, 0], [phone, free, 3], [breakfast, free, 4], [bed, singl, 0], [food, good, 1]]",1.0,2.0,1.0,0.7,0.125,0.4,,,1.0,0.4
139,rmyat,2019-11-01,PreCovid,3,4.0,"[[hotel, recent, 1], [room, 'much peac', 0], [floor, wooden, 0]]",1.0,2.0,,0.0,0.1,,,,,
140,priyanka K,2019-01-01,PreCovid,3,5.0,[],,,,,,,,,,
141,Dee,2018-12-01,PreCovid,3,3.0,"[[room, small, 0], [night, short, 4], [room, rare, 0], [room, nice, 0], [room, clean, 0]]",,4.0,,,0.25416666666666665,,,,1.0,0.0
142,wildtramper,2019-11-01,PreCovid,3,5.0,"[[room, clean, 0], [staff, great, 1], [staff, nice, 1]]",2.0,1.0,,0.7,0.3666666666666667,,,,,
143,219tibo,2019-11-01,PreCovid,3,1.0,"[[breakfast, bad, 4], [breakfast, small, 4]]",,,,,,,,,2.0,-0.4749999999999999
144,Ross Trevelyan,2019-11-01,PreCovid,3,4.0,"[[hotel, good, 1], [room, good, 0], [time, extra, 2]]",1.0,1.0,,0.7,0.7,,1.0,0.0,,
145,Phillip Alphonse,2019-11-01,PreCovid,3,4.0,"[[room, clean, 0]]",,1.0,,,0.3666666666666667,,,,,
146,Slawek Z,2019-10-01,PreCovid,3,4.0,"[[hotel, huge, 1], [room, nice, 0], [room, nice, 0]]",1.0,2.0,,0.4000000000000001,0.6,,,,,
147,PeterfromLondon,2019-10-01,PreCovid,3,4.0,"[[walk, central, 4], [day, free, 2], [day, 'also free', 2], [room, fine, 0], [room, typic, 0], [room, clean, 0]]",,3.0,,,0.2611111111111111,,2.0,0.4,1.0,0.0
148,R n,2019-10-01,PreCovid,3,4.0,"[[room, sound, 0], [room, proof, 0], [time, whole, 2]]",,2.0,,,0.2,,1.0,0.2,,
149,CatherineLee,2019-07-01,PreCovid,3,4.0,[],,,,,,,,,,
150,T8866WQjulien,2019-10-01,PreCovid,3,5.0,"[[place, right, 1]]",1.0,,,0.2857142857142857,,,,,,
151,nhighett,2019-10-01,PreCovid,3,4.0,"[[staff, great, 1], [time, optim, 2]]",1.0,,,0.8,,,1.0,0.0,,
152,Derek M,2019-10-01,PreCovid,3,5.0,"[[stay, singapor, 1], [breakfast, temperatur, 4], [hotel, central, 1]]",2.0,,,0.0,,,,,1.0,0.0
153,traveller5659,2019-09-01,PreCovid,3,5.0,"[[stay, great, 1], [room, big, 0], [staff, clean, 1], [food, european, 1], [food, asian, 1]]",4.0,1.0,,0.2916666666666667,0.0,,,,,
154,Kite247,2019-10-01,PreCovid,3,4.0,"[[breakfast, nice, 4], [breakfast, best, 4], [place, central, 1]]",1.0,,,0.0,,,,,2.0,0.8
155,Anne M,2019-09-01,PreCovid,3,4.0,"[[room, great, 0]]",,1.0,,,0.8,,,,,
156,Sue R,2019-10-01,PreCovid,3,4.0,[],,,,,,,,,,
157,GenuineFoodCritic,2019-09-01,PreCovid,3,3.0,"[[room, interior, 0], [staff, front, 1]]",1.0,1.0,,0.0,0.0,,,,,
158,sharonrocky72,2019-09-01,PreCovid,3,5.0,"[[room, much, 0]]",,1.0,,,0.2,,,,,
159,Cotswold Eagle,2019-09-01,PreCovid,3,4.0,[],,,,,,,,,,
160,frhnsz,2019-08-01,PreCovid,3,5.0,"[[thank, special, 3], [one, memor, 2]]",,,1.0,,,0.35714285714285715,1.0,0.0,,
161,timeq,2019-09-01,PreCovid,3,4.0,"[[room, clean, 0], [staff, front, 1], [staff, typic, 1], [staff, decent, 1], [night, last, 4]]",3.0,1.0,,0.05555555555555555,0.3666666666666667,,,,1.0,0.0
162,Designez,2019-03-01,PreCovid,3,4.0,"[[flight, long, 3]]",,,1.0,,,-0.05,,,,
163,richard_thompsonHK,2019-09-01,PreCovid,3,4.0,[],,,,,,,,,,
164,Linda W,2019-09-01,PreCovid,3,4.0,[],,,,,,,,,,
165,CWS,2019-09-01,PreCovid,3,1.0,"[[hotel, servic, 1], [breakfast, small, 4], [food, first, 1]]",2.0,,,0.125,,,,,1.0,-0.25
166,Myna S,2019-09-01,PreCovid,3,4.0,"[[room, luggag, 0], [room, servic, 0]]",,2.0,,,0.0,,,,,
167,ARR18,2019-09-01,PreCovid,3,5.0,"[[comfort, extra, 1], [check, earli, 2], [help, kishant, 1], [time, full, 2], [time, spread, 2]]",2.0,,,0.0,,,3.0,0.11666666666666665,,
168,Jay Santos,2019-09-01,PreCovid,3,2.0,"[[staff, good, 1], [night, second, 4], [day, next, 2], [floor, random, 0]]",1.0,1.0,,0.7,-0.5,,1.0,0.0,1.0,0.0
169,Alistair W,2019-09-01,PreCovid,3,4.0,"[[room, clean, 0], [room, 'well run', 0], [comfort, servic, 1], [walk, short, 4]]",1.0,2.0,,0.0,0.18333333333333335,,,,1.0,0.0
170,YogaPlanoSF,2019-08-01,PreCovid,3,3.0,"[[help, eager, 1], [room, great, 0]]",1.0,1.0,,0.0,0.8,,,,,
